pfam_id,ppa_locus,evalue_full_seq,Description
14-3-3|PF00244.21,ppa_stranded_DN29292_c0_g1_i1,1.20E-99,14-3-3
60KD_IMP|PF02096.21,ppa_stranded_DN31102_c0_g1_i1,3.20E-16,60Kd
6PF2K|PF01591.19,ppa_stranded_DN16532_c0_g1_i1,4.10E-90,6-phosphofructo-2-kinase
6PF2K|PF01591.19,ppa_stranded_DN26354_c0_g1_i1,2.80E-88,6-phosphofructo-2-kinase
6PGD|PF00393.20,ppa_stranded_DN27835_c0_g1_i1,7.60E-127,6-phosphogluconate
6PGD|PF00393.20,PPA04158,3.10E-65,6-phosphogluconate
6PGD|PF00393.20,PPA34264,7.10E-72,6-phosphogluconate
6PGD|PF00393.20,PPA35899,1.60E-70,6-phosphogluconate
6PGD|PF00393.20,PPA40706,1.10E-21,6-phosphogluconate
6PGD|PF00393.20,PPA41098,5.40E-43,6-phosphogluconate
6PGD|PF00393.20,PPA42490,2.00E-87,6-phosphogluconate
6PGD|PF00393.20,PPA46067,7.10E-29,6-phosphogluconate
7tm_1|PF00001.22,Contig0-snapTAU.718,3.50E-13,7
7tm_1|PF00001.22,Contig10-snap.216,5.50E-07,7
7tm_1|PF00001.22,Contig52-snap.119,0.0052,7
7tm_1|PF00001.22,Contig52-snap.120,4.10E-15,7
7tm_1|PF00001.22,Contig52-snapTAU.156,3.40E-31,7
7tm_1|PF00001.22,Iso_D.10812.1,2.90E-05,7
7tm_1|PF00001.22,ppa_stranded_DN10760_c0_g1_i1,3.90E-45,7
7tm_1|PF00001.22,ppa_stranded_DN16364_c0_g1_i1,1.30E-14,7
7tm_1|PF00001.22,ppa_stranded_DN18023_c0_g1_i1,1.30E-55,7
7tm_1|PF00001.22,ppa_stranded_DN18853_c0_g1_i1,1.80E-47,7
7tm_1|PF00001.22,ppa_stranded_DN19342_c0_g1_i1,0.0094,7
7tm_1|PF00001.22,ppa_stranded_DN23167_c0_g4_i1,3.20E-05,7
7tm_1|PF00001.22,ppa_stranded_DN23328_c0_g1_i1,1.80E-51,7
7tm_1|PF00001.22,ppa_stranded_DN24693_c0_g1_i3,0.00037,7
7tm_1|PF00001.22,ppa_stranded_DN26244_c0_g1_i3,9.80E-15,7
7tm_1|PF00001.22,ppa_stranded_DN26286_c0_g2_i3,0.00028,7
7tm_1|PF00001.22,ppa_stranded_DN26672_c0_g1_i2,7.70E-16,7
7tm_1|PF00001.22,ppa_stranded_DN26961_c0_g2_i1,1.70E-15,7
7tm_1|PF00001.22,ppa_stranded_DN27247_c0_g1_i2,2.50E-12,7
7tm_1|PF00001.22,ppa_stranded_DN27665_c0_g1_i8,2.00E-07,7
7tm_1|PF00001.22,ppa_stranded_DN27773_c0_g1_i1,7.20E-15,7
7tm_1|PF00001.22,ppa_stranded_DN28269_c2_g2_i1,3.40E-28,7
7tm_1|PF00001.22,ppa_stranded_DN28579_c0_g3_i1,1.90E-71,7
7tm_1|PF00001.22,ppa_stranded_DN28769_c0_g1_i2,6.50E-10,7
7tm_1|PF00001.22,ppa_stranded_DN28799_c0_g1_i3,6.80E-15,7
7tm_1|PF00001.22,ppa_stranded_DN29200_c0_g1_i1,1.80E-17,7
7tm_1|PF00001.22,ppa_stranded_DN29385_c0_g3_i3,2.50E-12,7
7tm_1|PF00001.22,ppa_stranded_DN29567_c0_g1_i1,9.80E-10,7
7tm_1|PF00001.22,ppa_stranded_DN29794_c0_g1_i1,2.50E-62,7
7tm_1|PF00001.22,ppa_stranded_DN29879_c0_g1_i1,2.20E-46,7
7tm_1|PF00001.22,ppa_stranded_DN30904_c0_g2_i10,3.80E-50,7
7tm_1|PF00001.22,ppa_stranded_DN30904_c0_g2_i13,5.10E-20,7
7tm_1|PF00001.22,ppa_stranded_DN32957_c0_g1_i1,8.00E-37,7
7tm_1|PF00001.22,ppa_stranded_DN35804_c0_g1_i1,0.00025,7
7tm_1|PF00001.22,PPA00122,2.20E-05,7
7tm_1|PF00001.22,PPA00153,1.50E-07,7
7tm_1|PF00001.22,PPA00294,1.10E-26,7
7tm_1|PF00001.22,PPA00365,0.00096,7
7tm_1|PF00001.22,PPA00437,4.30E-60,7
7tm_1|PF00001.22,PPA00440,7.50E-41,7
7tm_1|PF00001.22,PPA01907,1.90E-24,7
7tm_1|PF00001.22,PPA03207,1.50E-13,7
7tm_1|PF00001.22,PPA03748,8.10E-14,7
7tm_1|PF00001.22,PPA03842,2.80E-08,7
7tm_1|PF00001.22,PPA03851,1.80E-07,7
7tm_1|PF00001.22,PPA03959,1.10E-12,7
7tm_1|PF00001.22,PPA04879,9.30E-13,7
7tm_1|PF00001.22,PPA05312,2.10E-46,7
7tm_1|PF00001.22,PPA06164,0.00056,7
7tm_1|PF00001.22,PPA06278,9.30E-33,7
7tm_1|PF00001.22,PPA06753,4.90E-18,7
7tm_1|PF00001.22,PPA06832,1.10E-72,7
7tm_1|PF00001.22,PPA06949,9.40E-08,7
7tm_1|PF00001.22,PPA07498,3.70E-46,7
7tm_1|PF00001.22,PPA07597,8.40E-50,7
7tm_1|PF00001.22,PPA07900,1.60E-46,7
7tm_1|PF00001.22,PPA07953,9.90E-06,7
7tm_1|PF00001.22,PPA08312,3.40E-17,7
7tm_1|PF00001.22,PPA08484,5.40E-57,7
7tm_1|PF00001.22,PPA08737,1.50E-29,7
7tm_1|PF00001.22,PPA09152,5.90E-13,7
7tm_1|PF00001.22,PPA09715,3.80E-51,7
7tm_1|PF00001.22,PPA10461,1.30E-38,7
7tm_1|PF00001.22,PPA11665,1.70E-07,7
7tm_1|PF00001.22,PPA12252,2.00E-28,7
7tm_1|PF00001.22,PPA12256,1.40E-06,7
7tm_1|PF00001.22,PPA12274,5.00E-20,7
7tm_1|PF00001.22,PPA12300,1.40E-21,7
7tm_1|PF00001.22,PPA12301,1.90E-31,7
7tm_1|PF00001.22,PPA12758,7.70E-09,7
7tm_1|PF00001.22,PPA13927,4.20E-43,7
7tm_1|PF00001.22,PPA14003,6.50E-42,7
7tm_1|PF00001.22,PPA14209,6.90E-07,7
7tm_1|PF00001.22,PPA14216,4.50E-14,7
7tm_1|PF00001.22,PPA14349,2.20E-66,7
7tm_1|PF00001.22,PPA14598,3.70E-10,7
7tm_1|PF00001.22,PPA14600,2.30E-49,7
7tm_1|PF00001.22,PPA15726,0.00058,7
7tm_1|PF00001.22,PPA15769,0.008,7
7tm_1|PF00001.22,PPA15885,1.80E-14,7
7tm_1|PF00001.22,PPA15952,7.20E-19,7
7tm_1|PF00001.22,PPA16907,0.00021,7
7tm_1|PF00001.22,PPA17490,3.80E-17,7
7tm_1|PF00001.22,PPA17530,6.40E-13,7
7tm_1|PF00001.22,PPA17567,2.00E-34,7
7tm_1|PF00001.22,PPA17766,1.90E-33,7
7tm_1|PF00001.22,PPA17878,1.40E-11,7
7tm_1|PF00001.22,PPA18059,2.10E-13,7
7tm_1|PF00001.22,PPA18124,2.40E-18,7
7tm_1|PF00001.22,PPA19253,4.00E-16,7
7tm_1|PF00001.22,PPA19984,6.70E-17,7
7tm_1|PF00001.22,PPA20140,0.00038,7
7tm_1|PF00001.22,PPA20344,6.20E-32,7
7tm_1|PF00001.22,PPA20566,1.90E-73,7
7tm_1|PF00001.22,PPA20627,5.80E-71,7
7tm_1|PF00001.22,PPA20652,1.10E-33,7
7tm_1|PF00001.22,PPA21852,1.20E-14,7
7tm_1|PF00001.22,PPA21993,5.60E-12,7
7tm_1|PF00001.22,PPA22992,1.30E-70,7
7tm_1|PF00001.22,PPA23517,1.40E-10,7
7tm_1|PF00001.22,PPA23690,2.40E-40,7
7tm_1|PF00001.22,PPA23953,1.30E-13,7
7tm_1|PF00001.22,PPA23967,2.50E-07,7
7tm_1|PF00001.22,PPA24381,1.60E-52,7
7tm_1|PF00001.22,PPA25708,2.50E-13,7
7tm_1|PF00001.22,PPA25776,2.50E-06,7
7tm_1|PF00001.22,PPA26287,6.70E-35,7
7tm_1|PF00001.22,PPA26426,4.30E-44,7
7tm_1|PF00001.22,PPA27191,4.70E-07,7
7tm_1|PF00001.22,PPA27426,8.70E-11,7
7tm_1|PF00001.22,PPA27446,1.00E-43,7
7tm_1|PF00001.22,PPA28212,1.10E-27,7
7tm_1|PF00001.22,PPA29018,3.90E-71,7
7tm_1|PF00001.22,PPA29332,0.00017,7
7tm_1|PF00001.22,PPA29480,3.90E-10,7
7tm_1|PF00001.22,PPA29569,5.30E-13,7
7tm_1|PF00001.22,PPA30445,5.20E-47,7
7tm_1|PF00001.22,PPA30811,6.90E-06,7
7tm_1|PF00001.22,PPA30850,1.40E-38,7
7tm_1|PF00001.22,PPA31243,1.10E-26,7
7tm_1|PF00001.22,PPA32242,6.30E-56,7
7tm_1|PF00001.22,PPA33321,6.60E-06,7
7tm_1|PF00001.22,PPA33743,4.90E-12,7
7tm_1|PF00001.22,PPA33829,7.00E-09,7
7tm_1|PF00001.22,PPA34807,1.20E-09,7
7tm_1|PF00001.22,PPA35013,3.10E-32,7
7tm_1|PF00001.22,PPA36113,5.40E-18,7
7tm_1|PF00001.22,PPA36767,6.00E-05,7
7tm_1|PF00001.22,PPA36922,5.00E-08,7
7tm_1|PF00001.22,PPA37709,0.001,7
7tm_1|PF00001.22,PPA37833,1.90E-09,7
7tm_1|PF00001.22,PPA38376,1.40E-06,7
7tm_1|PF00001.22,PPA38452,1.80E-40,7
7tm_1|PF00001.22,PPA38517,7.00E-45,7
7tm_1|PF00001.22,PPA38628,4.50E-19,7
7tm_1|PF00001.22,PPA38647,7.30E-36,7
7tm_1|PF00001.22,PPA38715,7.90E-18,7
7tm_1|PF00001.22,PPA38752,1.00E-32,7
7tm_1|PF00001.22,PPA38881,7.50E-05,7
7tm_1|PF00001.22,PPA38899,1.30E-74,7
7tm_1|PF00001.22,PPA39215,4.00E-08,7
7tm_1|PF00001.22,PPA39306,4.90E-13,7
7tm_1|PF00001.22,PPA39457,6.60E-06,7
7tm_1|PF00001.22,PPA39471,1.50E-63,7
7tm_1|PF00001.22,PPA39676,1.90E-37,7
7tm_1|PF00001.22,PPA39852,3.50E-23,7
7tm_1|PF00001.22,PPA39987,6.60E-37,7
7tm_1|PF00001.22,PPA40072,2.00E-28,7
7tm_1|PF00001.22,PPA40133,6.10E-34,7
7tm_1|PF00001.22,PPA40227,2.80E-18,7
7tm_1|PF00001.22,PPA40336,0.00059,7
7tm_1|PF00001.22,PPA40352,4.80E-80,7
7tm_1|PF00001.22,PPA40584,1.30E-15,7
7tm_1|PF00001.22,PPA41849,8.20E-18,7
7tm_1|PF00001.22,PPA41861,6.20E-07,7
7tm_1|PF00001.22,PPA42337,2.00E-43,7
7tm_1|PF00001.22,PPA42905,1.90E-06,7
7tm_1|PF00001.22,PPA43504,1.60E-16,7
7tm_1|PF00001.22,UMM-S2845-12.36-mRNA-1_frag,2.20E-75,7
7tm_1|PF00001.22,UMM-S2857-5.15-mRNA-1_frag,1.50E-13,7
7tm_2|PF00002.25,Contig61-snapTAU.23,1.90E-07,7
7tm_2|PF00002.25,ppa_stranded_DN28433_c0_g1_i4,1.10E-58,7
7tm_2|PF00002.25,PPA02324,4.10E-36,7
7tm_2|PF00002.25,PPA18698,2.00E-44,7
7tm_2|PF00002.25,PPA19772,3.70E-52,7
7tm_2|PF00002.25,PPA22726,1.30E-41,7
7tm_3|PF00003.23,ppa_stranded_DN21978_c0_g1_i1,6.30E-36,7
7tm_3|PF00003.23,ppa_stranded_DN31194_c0_g2_i10,5.90E-17,7
7tm_3|PF00003.23,PPA11545,3.60E-53,7
7tm_3|PF00003.23,PPA23091,2.70E-17,7
7tm_3|PF00003.23,PPA26075,0.0057,7
7tm_6|PF02949.21,PPA01115,0.0017,7tm
7tm_7|PF08395.13,Contig12-snapTAU.108,2.00E-06,7tm
7tm_7|PF08395.13,Contig60-snapTAU.64,1.40E-05,7tm
7tm_7|PF08395.13,Iso_D.9973.1,4.30E-05,7tm
7tm_7|PF08395.13,Iso_D.9974.1,2.60E-05,7tm
7tm_7|PF08395.13,PPA24244,2.20E-05,7tm
7tm_7|PF08395.13,PPA39271,4.20E-14,7tm
7TM_GPCR_Sra|PF02117.17,PPA08463,8.80E-14,Serpentine
7TM_GPCR_Sra|PF02117.17,PPA27166,3.50E-13,Serpentine
7TM_GPCR_Sra|PF02117.17,PPA28472,1.10E-11,Serpentine
7TM_GPCR_Sra|PF02117.17,PPA30330,1.10E-11,Serpentine
7TM_GPCR_Sra|PF02117.17,PPA33510,6.20E-12,Serpentine
7TM_GPCR_Sra|PF02117.17,PPA37815,8.50E-11,Serpentine
7TM_GPCR_Sra|PF02117.17,PPA37828,6.30E-15,Serpentine
7TM_GPCR_Sra|PF02117.17,PPA42166,7.10E-15,Serpentine
7TM_GPCR_Sra|PF02117.17,PPA44998,7.60E-05,Serpentine
7TM_GPCR_Srab|PF10292.10,Contig40-snapTAU.204,3.30E-13,Serpentine
7TM_GPCR_Srab|PF10292.10,Contig41-snapTAU.68,4.20E-08,Serpentine
7TM_GPCR_Srab|PF10292.10,ppa_stranded_DN15223_c0_g1_i1,6.20E-07,Serpentine
7TM_GPCR_Srab|PF10292.10,ppa_stranded_DN21150_c0_g1_i2,3.00E-21,Serpentine
7TM_GPCR_Srab|PF10292.10,ppa_stranded_DN31550_c1_g5_i1,0.00049,Serpentine
7TM_GPCR_Srab|PF10292.10,ppa_stranded_DN32775_c0_g1_i1,3.10E-05,Serpentine
7TM_GPCR_Srab|PF10292.10,ppa_stranded_DN34074_c0_g1_i1,7.30E-15,Serpentine
7TM_GPCR_Srab|PF10292.10,ppa_stranded_DN49835_c0_g1_i1,0.00014,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA01665,0.00043,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA02044,2.50E-21,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA03527,7.90E-48,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA03781,4.10E-25,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA10724,1.10E-12,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA10734,2.20E-12,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA13460,4.70E-13,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA15617,3.20E-22,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA17065,4.80E-20,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA18067,1.30E-22,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA18982,2.10E-37,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA21773,5.70E-11,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA23283,1.90E-23,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA23966,2.30E-26,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA25213,0.0012,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA26141,8.30E-114,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA26144,4.60E-24,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA27615,1.70E-16,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA29872,8.10E-44,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA30553,0.00047,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA33416,9.40E-14,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA35922,2.60E-12,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA36288,6.00E-04,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA36763,1.80E-08,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA37442,4.40E-35,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA37443,9.90E-33,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA37822,6.60E-07,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA39267,8.20E-06,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA40700,4.70E-14,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA40708,3.00E-12,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA40788,0.0012,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA40851,9.30E-08,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA40858,3.00E-40,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA40859,2.60E-12,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA40946,0.00015,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA41012,4.30E-08,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA41067,0.0064,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA41171,2.20E-19,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA41215,3.10E-18,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA41216,7.50E-27,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA41305,1.80E-31,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA41455,7.20E-11,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA41509,1.10E-18,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA41746,4.00E-30,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA41834,1.20E-13,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA42237,1.20E-14,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA42238,1.60E-85,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA42247,3.90E-13,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA42249,0.00071,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA42413,3.80E-11,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA42434,3.70E-12,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA42442,2.80E-10,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA42498,1.50E-05,Serpentine
7TM_GPCR_Srab|PF10292.10,PPA43472,1.70E-24,Serpentine
7TM_GPCR_Srb|PF02175.17,PPA12900,4.30E-16,Serpentine
7TM_GPCR_Srb|PF02175.17,PPA32096,8.00E-04,Serpentine
7TM_GPCR_Srb|PF02175.17,PPA41475,7.20E-06,Serpentine
7TM_GPCR_Srbc|PF10316.10,PPA07043,5.80E-11,Serpentine
7TM_GPCR_Srbc|PF10316.10,PPA08413,3.00E-06,Serpentine
7TM_GPCR_Srbc|PF10316.10,PPA10726,2.80E-05,Serpentine
7TM_GPCR_Srbc|PF10316.10,PPA25577,2.00E-04,Serpentine
7TM_GPCR_Srbc|PF10316.10,PPA31665,3.60E-09,Serpentine
7TM_GPCR_Srbc|PF10316.10,PPA40852,3.00E-09,Serpentine
7TM_GPCR_Srd|PF10317.10,Contig113-snapTAU.29,1.40E-12,Serpentine
7TM_GPCR_Srd|PF10317.10,Contig23-snapTAU.221,1.10E-39,Serpentine
7TM_GPCR_Srd|PF10317.10,Contig42-snapTAU.18,3.70E-09,Serpentine
7TM_GPCR_Srd|PF10317.10,Contig51-snapTAU.17,4.60E-31,Serpentine
7TM_GPCR_Srd|PF10317.10,Iso_D.9297.1,7.10E-35,Serpentine
7TM_GPCR_Srd|PF10317.10,ppa_stranded_DN10413_c0_g1_i1,8.80E-11,Serpentine
7TM_GPCR_Srd|PF10317.10,ppa_stranded_DN16721_c0_g1_i1,1.90E-24,Serpentine
7TM_GPCR_Srd|PF10317.10,ppa_stranded_DN23165_c0_g2_i1,9.30E-10,Serpentine
7TM_GPCR_Srd|PF10317.10,ppa_stranded_DN2628_c0_g2_i1,1.50E-13,Serpentine
7TM_GPCR_Srd|PF10317.10,ppa_stranded_DN31444_c0_g2_i16,4.90E-24,Serpentine
7TM_GPCR_Srd|PF10317.10,ppa_stranded_DN36456_c0_g1_i1,8.20E-06,Serpentine
7TM_GPCR_Srd|PF10317.10,ppa_stranded_DN48319_c0_g1_i1,1.00E-16,Serpentine
7TM_GPCR_Srd|PF10317.10,ppa_stranded_DN50124_c0_g1_i1,1.10E-15,Serpentine
7TM_GPCR_Srd|PF10317.10,ppa_stranded_DN9258_c0_g2_i1,6.00E-35,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA01214,1.80E-44,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA03651,2.30E-31,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA03660,1.90E-15,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA03721,3.30E-34,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA03739,4.60E-36,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA04414,1.50E-172,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA04819,9.70E-45,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA05521,4.30E-26,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA05768,4.20E-23,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA05867,2.50E-59,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA06043,9.10E-38,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA06622,5.00E-14,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA06642,2.10E-10,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA07198,3.70E-33,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA08949,2.50E-32,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA09606,3.10E-53,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA09992,1.10E-34,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA10454,6.50E-94,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA10848,3.50E-09,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA12221,1.30E-26,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA12606,3.70E-36,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA13042,6.60E-39,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA13246,5.50E-17,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA13467,4.50E-44,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA13804,2.00E-23,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA15491,5.40E-23,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA15527,6.90E-30,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA15539,1.50E-15,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA15557,6.20E-38,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA16352,9.40E-67,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA16438,9.60E-45,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA16579,4.10E-29,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA18030,1.20E-22,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA18410,1.20E-26,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA19197,1.50E-25,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA19237,7.10E-50,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA19472,5.50E-43,Serpentine
7TM_GPCR_Srd|PF10317.10,PPA20729,4.20E-47,Serpentine
